SIC,EMPNUM
19101,2
27304,6
72104,2
74203,2
74203,3
75204,1
78204,5
78204,5
85103,7
85107,150
85107,21
97101,12
152103,2
152103,2
152112,1
152112,6
152144,3
152144,3
152144,2
152144,9
152144,3
152299,12
154213,10
154213,3
161101,3
171102,2
171105,3
171105,2
171105,1
173101,15
174203,2
174301,2
175203,1
178101,6
178103,2
179403,5
179403,10
179403,2
201104,2
241102,7
271101,12
271101,12
275202,3
275998,2
287301,1
319998,1
327301,3
359903,11
359903,8
359903,8
381207,3
421304,2
421304,1
421304,2
421309,14
422101,5
422101,3
422101,5
422503,1
431101,11
458106,1
472501,3
478977,8
481207,4
481304,20
483201,3
483201,1
483201,15
491101,15
494102,20
495302,10
495302,6
506304,3
508207,7
508310,25
515403,4
517208,5
519114,9
521101,3
521124,4
521126,10
521128,2
521142,12
523110,2
523110,2
525104,9
531102,4
533101,5
539901,2
541103,20
541105,44
541105,40
549901,2
553111,9
553111,3
553111,3
553123,16
553123,5
554101,5
554101,5
554101,6
554103,22
554110,6
554112,0
557101,4
559905,2
559908,28
571201,1
571216,11
571236,2
571236,1
571236,3
571306,3
571911,2
573402,4
573402,4
573407,1
581208,9
581208,7
581208,6
581208,5
581208,5
581208,6
581208,12
581208,5
581208,5
581212,3
581228,2
581228,8
581301,3
591205,10
592102,3
593222,1
593226,2
593226,12
594113,5
594201,3
594409,1
594902,3
596305,19
596305,4
598406,0
598406,0
599201,2
599201,4
599202,8
599920,4
599999,2
599999,2
602101,6
602101,5
602101,5
602101,9
602103,0
602103,0
602103,0
602103,0
602103,0
602103,0
602103,0
602103,0
606101,4
621101,3
621101,5
621111,2
641112,1
641112,4
641112,3
641112,5
641112,3
641112,3
641112,2
641112,2
641112,3
641112,3
641112,3
651303,1
651501,2
653116,1
653118,4
653118,3
653118,2
653118,7
654102,9
654102,5
655202,2
655302,2
655302,2
655302,2
655302,1
701101,30
701101,1
701101,2
701103,1
701110,2
701111,2
703302,1
703302,2
703302,2
703302,1
721919,25
722117,1
723102,2
723102,3
723106,1
723106,4
724101,1
724101,1
726103,2
729101,2
729944,2
733101,60
735910,2
736103,6
737415,4
737415,4
737415,1
737801,2
737904,10
738944,2
738977,8
751303,1
753201,1
753801,23
753801,8
753801,2
753810,1
753812,4
753901,2
753911,2
754901,2
769203,85
769904,2
769924,1
769965,2
769999,1
769999,1
783201,2
784102,3
793301,2
799101,2
799956,2
799972,10
801101,12
801104,9
801104,3
801104,22
802101,7
804101,4
804201,4
804201,4
804909,5
804918,3
804923,8
805102,4
806202,11
808201,14
808201,13
808201,2
808201,6
809907,4
811103,3
811103,3
811103,3
811103,3
811103,4
821102,5
821103,50
821103,30
821103,2
821103,22
821103,12
821120,9
821120,14
821120,14
822113,1
822113,3
823106,2
829931,16
829972,3
829972,1
832206,3
832206,1
832215,3
832245,14
832264,3
832275,3
833102,70
835101,6
835101,5
835101,7
835102,1
839998,1
861102,3
864101,4
864108,4
864108,3
864108,3
866104,4
866106,3
866107,1
866107,1
866107,2
866107,2
866107,1
866107,3
866107,1
866107,2
866107,3
866107,3
866107,5
866107,1
866107,1
866110,4
866110,4
869904,18
871301,2
871301,3
872101,2
872101,5
872101,3
874213,3
874856,4
899977,2
899977,2
912101,3
912101,2
912102,1
912102,15
912102,3
912102,2
912103,30
912103,5
912103,2
912103,2
912103,3
912103,2
912103,2
912103,5
912103,5
912103,2
912103,2
912103,1
912103,4
912103,3
912103,3
912104,3
912104,2
912104,2
922103,20
922104,4
922104,7
922404,20
931103,5
943102,2
951201,4
951202,4
953201,5
962106,1
962106,15
999966,4
999966,2
999966,2
999966,2
999977,0
999977,0
999977,0
999977,0
999977,0
999977,0
999977,0
999977,0
999977,0
999977,0
