SIC,EMPNUM
912104,3
481304,10
517210,2
458106,2
421203,2
581208,2
598401,5
514802,16
422503,1
912103,3
866107,3
864103,1
554101,15
29101,1
519115,25
912103,3
872101,3
641112,3
602103,0
602103,0
494102,5
999977,0
19101,2
641112,3
912103,3
912103,3
701101,3
962110,0
962110,0
821103,14
912103,3
912104,2
912103,1
912103,3
912103,6
523110,1
29101,1
912103,2
912101,5
912103,3
912103,1
962106,4
962106,3
721704,2
912103,3
821120,14
581222,6
581208,6
554101,20
602103,0
13901,2
29101,2
554101,5
866107,1
809905,1
912102,11
912103,3
554101,28
912103,8
931103,3
951201,2
912103,3
431101,2
912101,14
912103,1
951201,4
912103,1
912103,1
