"","OBJECTID","LOCNUM","CONAME","STREET","CITY","STATE","STATE_NAME","ZIP","ZIP4","NAICS","SIC","SALESVOL","HDBRCH","ULTNUM","PUBPRV","EMPNUM","FRNCOD","ISCODE","SQFTCODE","LOC_NAME","STATUS","SCORE","SOURCE","REC_TYPE","coords.x1","coords.x2","optional"
"3277","890109","771204268","1JOSEPH G MORELLI DC FICC","FARRINGTON HWY","WAIPAHU","H","IHawaii","9679","7184","29999900","499997",7,"0","00000000","0",0,"0",NA,NA,"3StreetAddres","s",0,"2INFOGROU",0,-72.5683999999999,43.1294000000001,TRUE
"3309","971823","571856498","3C R S INC","PO BOX 971177","WAIPAHU","H","IHawaii","9679","7817","79999900","499997",7,"0","00000000","0",0,"0",NA,NA,"1Postal",NA,0,"2INFOGROU",0,-72.5391,43.0561000000001,TRUE
"3311","982933","971898630","4ACZON JANITORIAL SVC","LEOLUA ST","WAIPAHU","H","IHawaii","9679","7181","65617200","173490",2,"2","00000000","0",6,"0",NA,NA,"2StreetAddres","s",0,"2INFOGROU",0,-72.5441,43.0244000000001,TRUE
"3333","1040177","472243476","3BLUE RHINO","FARRINGTON HWY","WAIPAHU","H","IHawaii","9679","7225","44543101","759840",6,"0","249051805","7",2,"0H",NA,NA,"PointAddress",NA,0,"2INFOGROU",0,-72.6236,43.0769000000001,TRUE
"3334","1040179","172243478","5BLUE RHINO","KUPUOHI ST","WAIPAHU","H","IHawaii","9679","7","4543101","759840",6,"0","249051805","7",2,"0H",NA,NA,"StreetName",NA,0,"2INFOGROU",0,-72.5676,43.1293,TRUE
"3339","1052653","272315183","0MIRACLES IN THE MAKING INC","PO BOX 970035","WAIPAHU","H","IHawaii","9679","7003","59999900","499997",7,"0","00000000","0",0,"0",NA,NA,"1Postal",NA,0,"2INFOGROU",0,-72.5733999999999,43.1171000000001,TRUE
"3343","1062480","172360621","2LONGHI'S KO'OLINA","MARRIOTT VACATION CLUB","WAIPAHU","H","IHawaii","9679","7","9999900","499997",7,"0","00000000","0",0,"0",NA,NA,"1Postal",NA,0,"2INFOGROU",0,-72.5405999999999,43.0693000000001,TRUE
"3345","1066646","972379672","3KIDS CORNER","KEAHILELE ST","MILILANI","H","IHawaii","9678","9197","34421101","157120",2,"2","00000000","0",3,"0",NA,NA,"2StreetAddres","s",0,"2INFOGROU",0,-72.5334999999999,43.1146000000001,TRUE
"3363","1107153","572594246","6UNLOCKING DESTINY LLC","PO BOX 970035","WAIPAHU","H","IHawaii","9679","7003","55616220","476996",2,"2","00000000","0",2,"0",NA,NA,"1Postal",NA,0,"2INFOGROU",0,-72.5295999999999,43.1377000000001,TRUE
"3372","1129041","773106859","6HAWAIIAN PARADISE COFFEES",NA,"WAIPAHU","H","IHawaii","9679","7","9999900","499997",7,"0","00000000","0",0,"0",NA,NA,"1Postal",NA,0,"2INFOGROU",0,-72.633,43.1364000000001,TRUE
"3471","1243920","987041036","2HAWAII PACIFIC PLUMBING SUPPL","YLEOOLE ST","WAIPAHU","H","IHawaii","9679","7226","04441905","352111",0,"3","00000000","0",1.3,"1",NA,NA,"6PointAddress",NA,0,"2INFOGROU",0,-72.5282999999999,43.0527000000001,TRUE
"3479","1269677","090399954","8LINDSEY HAWAII","NOLUPE ST","WAIPAHU","H","IHawaii","9679","7127","95619901","773899",5,"1","00000000","0",1,"0",NA,NA,"1PointAddress",NA,0,"2INFOGROU",0,-72.5372999999999,43.0751000000001,TRUE
"3508","1302146","398002012","7SMILING PLACE","KUPUOHI ST","WAIPAHU","H","IHawaii","9679","7532","96212100","380210",1,"3","00000000","0",1,"12",NA,NA,"5PointAddress",NA,0,"2INFOGROU",0,-72.5413999999999,43.0648,TRUE
