OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
4774733,432946777,T LINDSLEY FARMS LLC,SW 1ST ST,GRANGEVILLE,ID,Idaho,83530,1358,11199803,019101,115,,0,,2,,,1,StreetAddress,M,100,INFOGROUP,0
3589952,416281612,NEZ PERCE TRIBE FISHERIES,W MAIN ST,GRANGEVILLE,ID,Idaho,83530,1900,11251101,027304,165,,0,,6,,,3,PointAddress,M,100,INFOGROUP,0
11225068,728977838,PRECISION WEED CONTROL,W NORTH ST,GRANGEVILLE,ID,Idaho,83530,1240,11511216,072104,551,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
728333,167190677,GRANGEVILLE VETERINARY CLINIC,E MAIN ST,GRANGEVILLE,ID,Idaho,83530,2319,54194002,074203,108,,0,,2,LS1,,1,PointAddress,M,100,INFOGROUP,0
6086987,487847188,CAMAS VETERINARY HOSPITAL,GRANGEVILLE TRUCK RTE,GRANGEVILLE,ID,Idaho,83530,5295,54194002,074203,162,,0,,3,ELRS1,,1,PointAddress,M,100,INFOGROUP,0
8500926,708167967,POSITIVE REFLECTION,FRONTAGE RD,GRANGEVILLE,ID,Idaho,83530,5370,81291021,075204,53,,0,,1,,,1,PointAddress,M,100,INFOGROUP,0
3054090,409227593,SALMON CLEARWATER LANDSCAPING,S B ST,GRANGEVILLE,ID,Idaho,83530,1436,56173009,078204,196,,0,,5,,,2,PointAddress,M,100,INFOGROUP,0
10616062,723564840,L & M LANDSCPG & CONSTRUCTIVE,SW 1ST ST,GRANGEVILLE,ID,Idaho,83530,1359,56173009,078204,196,,0,,5,,,1,PointAddress,M,100,INFOGROUP,0
4487636,427131044,BLOWN AWAY,N C ST,GRANGEVILLE,ID,Idaho,83530,1120,11531006,085103,294,,0,,7,,,3,PointAddress,M,100,INFOGROUP,0
2159875,401336775,USDA FOREST SVC,AIRPORT RD,GRANGEVILLE,ID,Idaho,83530,6003,11531005,085107,6281,2,801257445,,150,,,8,StreetAddress,M,100,INFOGROUP,0
12668378,900787052,NEZ PERCE NATIONAL FOREST,RR 2,GRANGEVILLE,ID,Idaho,83530,,11531005,085107,880,2,801257445,,21,,,5,Postal,M,100,INFOGROUP,0
6843473,586476707,FLYING B FARMS,FLYING B LN,GRANGEVILLE,ID,Idaho,83530,5247,11421004,097101,766,,0,,12,,,4,PointAddress,M,100,INFOGROUP,0
3589940,416281575,SCHACHER CONSTRUCTION,HAPPY HOLLOW RD,GRANGEVILLE,ID,Idaho,83530,5138,23611505,152103,422,,0,,2,,,1,PointAddress,M,100,INFOGROUP,0
4465853,426984455,LEININGER TIM CONSTRUCTION,,GRANGEVILLE,ID,Idaho,83530,,23611505,152103,422,,0,,2,,,1,Postal,M,100,INFOGROUP,1
2024558,400165284,NORM RICE CONSTRUCTION LLC,ASPEN LN,GRANGEVILLE,ID,Idaho,83530,2100,23611506,152112,211,,0,,1,,,1,PointAddress,M,100,INFOGROUP,0
