"","Ind","age","sex","house","income"
"1","ind11073","18-19","m","13","Less than $10,000"
"2","ind11170","18-19","m","15","Less than $10,000"
"3","ind11171","18-19","m","16","Less than $10,000"
"4","ind111","18-19","m","2268","Less than $10,000"
"5","ind11109","18-19","m","2275","Less than $10,000"
"6","ind11291","22-24","m","23","Less than $10,000"
"7","ind11168","18-19","m","2336","Less than $10,000"
"8","ind11162","18-19","m","2411","Less than $10,000"
"9","ind11240","21-21","m","2462","Less than $10,000"
"10","ind11217","20-20","m","2483","Less than $10,000"
"11","ind11315","22-24","m","25","Less than $10,000"
"12","ind11337","22-24","m","2501","Less than $10,000"
"13","ind11115","18-19","m","2610","Less than $10,000"
"14","ind11317","22-24","m","2647","Less than $10,000"
"15","ind11097","18-19","m","2819","Less than $10,000"
"16","ind11112","18-19","m","2856","Less than $10,000"
"17","ind11210","20-20","m","2945","Less than $10,000"
"18","ind11436","22-24","m","2947","Less than $10,000"
"19","ind11286","22-24","m","2948","Less than $10,000"
"20","ind11214","20-20","m","2949","Less than $10,000"
"21","ind11422","22-24","m","2982","Less than $10,000"
"22","ind11249","21-21","m","3009","Less than $10,000"
"23","ind11434","22-24","m","3014","Less than $10,000"
"24","ind11245","21-21","m","3071","Less than $10,000"
"25","ind11174","18-19","m","3122","Less than $10,000"
"26","ind11346","22-24","m","3324","$10,000 to $14,999"
"27","ind11243","21-21","m","3405","$10,000 to $14,999"
"28","ind11064","18-19","m","3435","$10,000 to $14,999"
"29","ind11104","18-19","m","35","$10,000 to $14,999"
"30","ind11285","22-24","m","3506","$10,000 to $14,999"
"31","ind11269","21-21","m","3643","$10,000 to $14,999"
"32","ind10997","15-17","m","3652","$10,000 to $14,999"
"33","ind10317","5-9","m","3830","$10,000 to $14,999"
"34","ind11211","20-20","m","39","$10,000 to $14,999"
"35","ind10658","10-14","m","3906","$10,000 to $14,999"
"36","ind11052","15-17","m","3919","$25,000 to $29,999"
"37","ind10950","15-17","m","4073","$25,000 to $29,999"
"38","ind1066","10-14","m","4086","$25,000 to $29,999"
"39","ind11218","20-20","m","41","$35,000 to $39,999"
"40","ind10299","5-9","m","4135","$35,000 to $39,999"
"41","ind5289","5-9","f","4306","$35,000 to $39,999"
"42","ind4850","0-4","f","4308","$35,000 to $39,999"
"43","ind5157","5-9","f","4310","$40,000 to $44,999"
"44","ind10883","10-14","m","4333","$40,000 to $44,999"
"45","ind10284","0-4","m","4339","$40,000 to $44,999"
"46","ind10426","5-9","m","4347","$40,000 to $44,999"
"47","ind10256","0-4","m","4357","$40,000 to $44,999"
"48","ind1015","0-4","m","4363","$40,000 to $44,999"
"49","ind10601","5-9","m","4371","$45,000 to $49,999"
"50","ind10889","10-14","m","4377","$45,000 to $49,999"
"51","ind10483","5-9","m","4383","$45,000 to $49,999"
"52","ind105","5-9","m","4384","$45,000 to $49,999"
"53","ind10057","0-4","m","4403","$45,000 to $49,999"
"54","ind11038","15-17","m","4424","$45,000 to $49,999"
"55","ind4934","0-4","f","4460","$45,000 to $49,999"
"56","ind10260","0-4","m","4464","$45,000 to $49,999"
"57","ind1019","0-4","m","4468","$45,000 to $49,999"
"58","ind10535","5-9","m","4472","$45,000 to $49,999"
"59","ind10355","5-9","m","4479","$45,000 to $49,999"
"60","ind10431","5-9","m","4485","$45,000 to $49,999"
"61","ind10055","0-4","m","4486","$50,000 to $59,999"
"62","ind10617","5-9","m","4488","$50,000 to $59,999"
"63","ind10825","10-14","m","4500","$60,000 to $74,999"
"64","ind11020","15-17","m","4501","$60,000 to $74,999"
"65","ind10020","0-4","m","4502","$60,000 to $74,999"
"66","ind10340","5-9","m","4509","$60,000 to $74,999"
"67","ind10028","0-4","m","4527","$60,000 to $74,999"
"68","ind10471","5-9","m","4529","$75,000 to $99,999"
"69","ind10455","5-9","m","4532","$75,000 to $99,999"
"70","ind10501","5-9","m","4558","$75,000 to $99,999"
"71","ind10342","5-9","m","4559","$75,000 to $99,999"
"72","ind10009","0-4","m","4578","$75,000 to $99,999"
"73","ind10398","5-9","m","4590","$75,000 to $99,999"
"74","ind10105","0-4","m","4593","$75,000 to $99,999"
"75","ind11078","18-19","m","46","$75,000 to $99,999"
"76","ind11212","20-20","m","47","$75,000 to $99,999"
"77","ind11425","22-24","m","5","$75,000 to $99,999"
"78","ind11124","18-19","m","53","$75,000 to $99,999"
"79","ind11421","22-24","m","54","$75,000 to $99,999"
"80","ind11237","21-21","m","57","$75,000 to $99,999"
"81","ind11395","22-24","m","59","$75,000 to $99,999"
"82","ind11384","22-24","m","61","$75,000 to $99,999"
"83","ind5872","18-19","f","704","$75,000 to $99,999"
"84","ind601","22-24","f","709","$75,000 to $99,999"
"85","ind5852","18-19","f","713","$75,000 to $99,999"
"86","ind5894","18-19","f","716","$75,000 to $99,999"
"87","ind6009","22-24","f","719","$100,000 to $124,999"
"88","ind11311","22-24","m","72","$100,000 to $124,999"
"89","ind6117","22-24","f","721","$100,000 to $124,999"
"90","ind6053","22-24","f","723","$100,000 to $124,999"
"91","ind5870","18-19","f","724","$100,000 to $124,999"
"92","ind5862","18-19","f","730","$100,000 to $124,999"
"93","ind6108","22-24","f","732","$100,000 to $124,999"
"94","ind5951","20-20","f","735","$100,000 to $124,999"
"95","ind5971","21-21","f","738","$100,000 to $124,999"
"96","ind11100","18-19","m","74","$100,000 to $124,999"
"97","ind5891","18-19","f","742","$100,000 to $124,999"
"98","ind5915","20-20","f","744","$100,000 to $124,999"
"99","ind6046","22-24","f","748","$100,000 to $124,999"
"100","ind586","18-19","f","749","$100,000 to $124,999"
"101","ind6129","22-24","f","753","$100,000 to $124,999"
"102","ind5968","21-21","f","754","$100,000 to $124,999"
"103","ind6135","22-24","f","757","$100,000 to $124,999"
"104","ind5965","21-21","f","758","$100,000 to $124,999"
"105","ind587","18-19","f","759","$100,000 to $124,999"
"106","ind593","20-20","f","764","$100,000 to $124,999"
"107","ind6071","22-24","f","765","$100,000 to $124,999"
"108","ind1115","18-19","m","79","$100,000 to $124,999"
"109","ind11231","21-21","m","80","$100,000 to $124,999"
"110","ind11228","21-21","m","84","$100,000 to $124,999"
"111","ind11208","20-20","m","87","$100,000 to $124,999"
"112","ind11251","21-21","m","91","$100,000 to $124,999"
"113","ind1287","25-29","m","10","Less than $10,000"
"114","ind7015","40-44","f","1003","Less than $10,000"
"115","ind7132","40-44","f","1004","Less than $10,000"
"116","ind6748","35-39","f","1005","Less than $10,000"
"117","ind7024","40-44","f","1010","Less than $10,000"
