"","Ind","house","age","sex","income"
"1","ind1","4045","0-4","m","$75,000 to $99,999"
"2","ind10","3926","0-4","m","$60,000 to $74,999"
"3","ind100","3939","0-4","m","$60,000 to $74,999"
"4","ind1000","4602","0-4","m","$100,000 to $124,999"
"5","ind10000","4610","0-4","m","$75,000 to $99,999"
"6","ind10001","3645","0-4","m","$50,000 to $59,999"
"7","ind10002","3804","0-4","m","$60,000 to $74,999"
"8","ind10003","3786","0-4","m","$50,000 to $59,999"
"9","ind10004","4220","0-4","m","$75,000 to $99,999"
"10","ind10005","4425","0-4","m","$75,000 to $99,999"
"11","ind10006","4508","0-4","m","$100,000 to $124,999"
"12","ind10007","4594","0-4","m","$100,000 to $124,999"
"13","ind10008","4480","0-4","m","$75,000 to $99,999"
"14","ind10009","4578","0-4","m","$75,000 to $99,999"
"15","ind1001","4344","0-4","m","$75,000 to $99,999"
"16","ind10010","4619","0-4","m","$100,000 to $124,999"
"17","ind10011","3894","0-4","m","$60,000 to $74,999"
"18","ind10012","4596","0-4","m","$100,000 to $124,999"
"19","ind10013","4325","0-4","m","$60,000 to $74,999"
"20","ind10014","4172","0-4","m","$75,000 to $99,999"
"21","ind10015","4622","0-4","m","$75,000 to $99,999"
"22","ind10016","4088","0-4","m","$75,000 to $99,999"
"23","ind10017","3969","0-4","m","$60,000 to $74,999"
"24","ind10018","4394","0-4","m","$75,000 to $99,999"
"25","ind10019","4573","0-4","m","$100,000 to $124,999"
"26","ind1002","4386","0-4","m","$75,000 to $99,999"
"27","ind10020","4502","0-4","m","$60,000 to $74,999"
"28","ind10021","4478","0-4","m","$75,000 to $99,999"
"29","ind10022","4023","0-4","m","$75,000 to $99,999"
"30","ind10023","4349","0-4","m","$75,000 to $99,999"
"31","ind10024","4091","0-4","m","$75,000 to $99,999"
"32","ind10025","4082","0-4","m","$75,000 to $99,999"
"33","ind10026","4613","0-4","m","$100,000 to $124,999"
"34","ind10027","4196","0-4","m","$75,000 to $99,999"
"35","ind10028","4527","0-4","m","$60,000 to $74,999"
"36","ind10029","3635","0-4","m","$50,000 to $59,999"
"37","ind1003","3620","0-4","m","$50,000 to $59,999"
"38","ind10030","3930","0-4","m","$60,000 to $74,999"
"39","ind10031","4224","0-4","m","$75,000 to $99,999"
"40","ind10032","3917","0-4","m","$50,000 to $59,999"
"41","ind10033","4463","0-4","m","$75,000 to $99,999"
"42","ind10034","3824","0-4","m","$60,000 to $74,999"
"43","ind10035","4359","0-4","m","$60,000 to $74,999"
"44","ind10036","3893","0-4","m","$50,000 to $59,999"
"45","ind10037","4220","0-4","m","$75,000 to $99,999"
"46","ind10038","4120","0-4","m","$60,000 to $74,999"
"47","ind10039","3705","0-4","m","$60,000 to $74,999"
"48","ind1004","3914","0-4","m","$60,000 to $74,999"
"49","ind10040","4589","0-4","m","$75,000 to $99,999"
"50","ind10041","4067","0-4","m","$75,000 to $99,999"
"51","ind10042","4615","0-4","m","$100,000 to $124,999"
"52","ind10043","4046","0-4","m","$75,000 to $99,999"
"53","ind10044","4358","0-4","m","$60,000 to $74,999"
"54","ind10045","4431","0-4","m","$75,000 to $99,999"
"55","ind10046","4461","0-4","m","$75,000 to $99,999"
"56","ind10047","3901","0-4","m","$60,000 to $74,999"
"57","ind10048","4449","0-4","m","$75,000 to $99,999"
"58","ind10049","4302","0-4","m","$75,000 to $99,999"
"59","ind1005","4197","0-4","m","$75,000 to $99,999"
"60","ind10050","4580","0-4","m","$75,000 to $99,999"
"61","ind10051","4610","0-4","m","$75,000 to $99,999"
"62","ind10052","4012","0-4","m","$75,000 to $99,999"
"63","ind10053","3885","0-4","m","$50,000 to $59,999"
"64","ind10054","4588","0-4","m","$100,000 to $124,999"
"65","ind10055","4486","0-4","m","$50,000 to $59,999"
"66","ind10056","4235","0-4","m","$75,000 to $99,999"
"67","ind10057","4403","0-4","m","$45,000 to $49,999"
"68","ind10058","4136","0-4","m","$75,000 to $99,999"
"69","ind10059","4417","0-4","m","$75,000 to $99,999"
"70","ind1006","3860","0-4","m","$60,000 to $74,999"
"71","ind10060","4198","0-4","m","$75,000 to $99,999"
"72","ind10061","4235","0-4","m","$75,000 to $99,999"
"73","ind10062","4608","0-4","m","$100,000 to $124,999"
"74","ind10063","4350","0-4","m","$60,000 to $74,999"
"75","ind10064","3796","0-4","m","$60,000 to $74,999"
"76","ind10065","4423","0-4","m","$75,000 to $99,999"
"77","ind10066","3983","0-4","m","$60,000 to $74,999"
"78","ind10067","4605","0-4","m","$100,000 to $124,999"
"79","ind10068","4583","0-4","m","$100,000 to $124,999"
"80","ind10069","4274","0-4","m","$75,000 to $99,999"
"81","ind1007","3934","0-4","m","$50,000 to $59,999"
"82","ind10070","4405","0-4","m","$75,000 to $99,999"
"83","ind10071","3973","0-4","m","$50,000 to $59,999"
"84","ind10072","3867","0-4","m","$50,000 to $59,999"
"85","ind10073","4484","0-4","m","$75,000 to $99,999"
"86","ind10074","3752","0-4","m","$60,000 to $74,999"
"87","ind10075","4032","0-4","m","$75,000 to $99,999"
"88","ind10076","3916","0-4","m","$60,000 to $74,999"
"89","ind10077","4524","0-4","m","$100,000 to $124,999"
"90","ind10078","4315","0-4","m","$75,000 to $99,999"
"91","ind10079","3907","0-4","m","$60,000 to $74,999"
"92","ind1008","4533","0-4","m","$75,000 to $99,999"
"93","ind10080","4584","0-4","m","$100,000 to $124,999"
"94","ind10081","3875","0-4","m","$60,000 to $74,999"
"95","ind10082","4211","0-4","m","$60,000 to $74,999"
"96","ind10083","3869","0-4","m","$60,000 to $74,999"
"97","ind10084","4563","0-4","m","$100,000 to $124,999"
"98","ind10085","3987","0-4","m","$60,000 to $74,999"
"99","ind10086","4315","0-4","m","$75,000 to $99,999"
"100","ind10087","3632","0-4","m","$50,000 to $59,999"
"101","ind10088","4505","0-4","m","$75,000 to $99,999"
"102","ind10089","3897","0-4","m","$60,000 to $74,999"
"103","ind1009","4122","0-4","m","$75,000 to $99,999"
"104","ind10090","4481","0-4","m","$75,000 to $99,999"
"105","ind10091","4422","0-4","m","$75,000 to $99,999"
"106","ind10092","4186","0-4","m","$60,000 to $74,999"
"107","ind10093","4240","0-4","m","$75,000 to $99,999"
"108","ind10094","3890","0-4","m","$60,000 to $74,999"
"109","ind10095","3893","0-4","m","$50,000 to $59,999"
"110","ind10096","4126","0-4","m","$75,000 to $99,999"
"111","ind10097","4428","0-4","m","$75,000 to $99,999"
"112","ind10098","4338","0-4","m","$75,000 to $99,999"
"113","ind10099","4138","0-4","m","$75,000 to $99,999"
"114","ind101","3993","0-4","m","$60,000 to $74,999"
"115","ind1010","4620","0-4","m","$100,000 to $124,999"
"116","ind10100","3788","0-4","m","$60,000 to $74,999"
"117","ind10101","4583","0-4","m","$100,000 to $124,999"
"118","ind10102","4518","0-4","m","$75,000 to $99,999"
"119","ind10103","4095","0-4","m","$75,000 to $99,999"
"120","ind10104","4174","0-4","m","$75,000 to $99,999"
"121","ind10105","4593","0-4","m","$75,000 to $99,999"
"122","ind10106","4161","0-4","m","$75,000 to $99,999"
"123","ind10107","3845","0-4","m","$60,000 to $74,999"
"124","ind10108","3803","0-4","m","$60,000 to $74,999"
"125","ind10109","4164","0-4","m","$60,000 to $74,999"
"126","ind1011","4582","0-4","m","$75,000 to $99,999"
"127","ind10110","4260","0-4","m","$75,000 to $99,999"
"128","ind10111","3949","0-4","m","$60,000 to $74,999"
"129","ind10112","4237","0-4","m","$75,000 to $99,999"
"130","ind10113","4167","0-4","m","$75,000 to $99,999"
"131","ind10114","4487","0-4","m","$75,000 to $99,999"
"132","ind10115","4255","0-4","m","$75,000 to $99,999"
"133","ind10116","4232","0-4","m","$75,000 to $99,999"
"134","ind10117","4612","0-4","m","$100,000 to $124,999"
"135","ind10118","4533","0-4","m","$75,000 to $99,999"
"136","ind10119","4250","0-4","m","$60,000 to $74,999"
"137","ind1012","3899","0-4","m","$60,000 to $74,999"
"138","ind10120","4462","0-4","m","$75,000 to $99,999"
"139","ind10121","4459","0-4","m","$75,000 to $99,999"
"140","ind10122","4256","0-4","m","$75,000 to $99,999"
"141","ind10123","3997","0-4","m","$50,000 to $59,999"
"142","ind10124","3910","0-4","m","$50,000 to $59,999"
"143","ind10125","4461","0-4","m","$75,000 to $99,999"
"144","ind10126","3924","0-4","m","$50,000 to $59,999"
"145","ind10127","3689","0-4","m","$60,000 to $74,999"
"146","ind10128","3887","0-4","m","$60,000 to $74,999"
"147","ind10129","4552","0-4","m","$75,000 to $99,999"
"148","ind1013","4152","0-4","m","$75,000 to $99,999"
"149","ind10130","4525","0-4","m","$75,000 to $99,999"
"150","ind10131","4579","0-4","m","$75,000 to $99,999"
"151","ind10132","4276","0-4","m","$75,000 to $99,999"
"152","ind10133","4601","0-4","m","$75,000 to $99,999"
"153","ind10134","4622","0-4","m","$75,000 to $99,999"
"154","ind10135","3660","0-4","m","$50,000 to $59,999"
"155","ind10136","4233","0-4","m","$75,000 to $99,999"
"156","ind10137","3719","0-4","m","$50,000 to $59,999"
"157","ind10138","4188","0-4","m","$75,000 to $99,999"
"158","ind10139","4482","0-4","m","$75,000 to $99,999"
