"","Ind","age","sex","house","income"
"1","ind173","21-21","m","1","Less than $10,000"
"2","ind166","20-20","m","1101","Less than $10,000"
"3","ind1676","20-20","m","1121","Less than $10,000"
"4","ind164","18-19","m","1208","Less than $10,000"
"5","ind1779","22-24","m","1212","Less than $10,000"
"6","ind1755","22-24","m","1316","Less than $10,000"
"7","ind1666","20-20","m","2","$25,000 to $29,999"
"8","ind1167","0-4","m","2002","$25,000 to $29,999"
"9","ind1305","10-14","m","2024","$25,000 to $29,999"
"10","ind3982","18-19","f","269","$25,000 to $29,999"
"11","ind3980","18-19","f","273","$25,000 to $29,999"
"12","ind4029","20-20","f","276","$25,000 to $29,999"
"13","ind3979","18-19","f","286","$35,000 to $39,999"
"14","ind4066","22-24","f","287","$35,000 to $39,999"
"15","ind4053","21-21","f","297","$35,000 to $39,999"
"16","ind400","18-19","f","299","$35,000 to $39,999"
"17","ind4051","21-21","f","301","$60,000 to $74,999"
"18","ind3991","18-19","f","306","$60,000 to $74,999"
"19","ind4044","21-21","f","308","$60,000 to $74,999"
"20","ind4020","20-20","f","310","$60,000 to $74,999"
"21","ind4026","20-20","f","312","$60,000 to $74,999"
"22","ind1679","20-20","m","4","$60,000 to $74,999"
"23","ind1692","20-20","m","8","$60,000 to $74,999"
"24","ind165","20-20","m","9","$60,000 to $74,999"
"25","ind1783","22-24","m","1317","$10,000 to $14,999"
"26","ind3615","5-9","f","1433","$10,000 to $14,999"
"27","ind1304","10-14","m","1458","$10,000 to $14,999"
"28","ind1406","10-14","m","1461","$10,000 to $14,999"
"29","ind1347","10-14","m","1466","$10,000 to $14,999"
"30","ind1168","0-4","m","1469","$10,000 to $14,999"
"31","ind1725","21-21","m","1532","$10,000 to $14,999"
"32","ind1757","22-24","m","16","$10,000 to $14,999"
"33","ind1349","10-14","m","1621","$10,000 to $14,999"
"34","ind1230","5-9","m","1673","$10,000 to $14,999"
"35","ind1758","22-24","m","1692","$10,000 to $14,999"
"36","ind1330","10-14","m","1806","$10,000 to $14,999"
"37","ind1091","0-4","m","1860","$10,000 to $14,999"
"38","ind1591","15-17","m","1874","$10,000 to $14,999"
"39","ind1176","0-4","m","1887","$10,000 to $14,999"
"40","ind1110","0-4","m","1888","$10,000 to $14,999"
"41","ind1081","0-4","m","1894","$10,000 to $14,999"
"42","ind1404","10-14","m","1974","$10,000 to $14,999"
"43","ind1471","10-14","m","1984","$10,000 to $14,999"
"44","ind199","30-34","m","10","Less than $10,000"
"45","ind4504","40-44","f","1077","Less than $10,000"
"46","ind4441","40-44","f","1078","Less than $10,000"
"47","ind201","30-34","m","1080","Less than $10,000"
"48","ind1799","25-29","m","1082","Less than $10,000"
"49","ind2184","40-44","m","1083","Less than $10,000"
"50","ind207","35-39","m","1088","Less than $10,000"
"51","ind2084","35-39","m","1093","Less than $10,000"
"52","ind4455","40-44","f","1097","Less than $10,000"
"53","ind1852","25-29","m","11","Less than $10,000"
"54","ind186","25-29","m","1102","Less than $10,000"
"55","ind2206","40-44","m","1113","Less than $10,000"
"56","ind1981","30-34","m","1115","Less than $10,000"
"57","ind2198","40-44","m","1124","Less than $10,000"
"58","ind4507","40-44","f","1131","Less than $10,000"
"59","ind2079","35-39","m","1138","Less than $10,000"
"60","ind2041","35-39","m","1140","Less than $10,000"
"61","ind4348","35-39","f","1143","Less than $10,000"
"62","ind2240","40-44","m","1148","Less than $10,000"
"63","ind2060","35-39","m","1150","Less than $10,000"
"64","ind183","25-29","m","1151","Less than $10,000"
"65","ind412","25-29","f","1157","Less than $10,000"
"66","ind4579","40-44","f","1170","Less than $10,000"
"67","ind2124","35-39","m","1174","Less than $10,000"
"68","ind1935","30-34","m","1176","Less than $10,000"
"69","ind4245","30-34","f","1177","Less than $10,000"
"70","ind4119","25-29","f","1179","Less than $10,000"
"71","ind1890","30-34","m","1185","Less than $10,000"
"72","ind2258","40-44","m","1189","Less than $10,000"
"73","ind2142","35-39","m","1194","Less than $10,000"
"74","ind414","25-29","f","1197","Less than $10,000"
"75","ind1791","25-29","m","1198","Less than $10,000"
"76","ind217","40-44","m","1199","Less than $10,000"
"77","ind1934","30-34","m","12","Less than $10,000"
"78","ind1904","30-34","m","1211","Less than $10,000"
"79","ind1967","30-34","m","1540","$40,000 to $44,999"
"80","ind198","30-34","m","1546","$40,000 to $44,999"
"81","ind1912","30-34","m","1556","$40,000 to $44,999"
"82","ind4085","25-29","f","1559","$40,000 to $44,999"
"83","ind2221","40-44","m","1562","$40,000 to $44,999"
"84","ind1790","25-29","m","1564","$40,000 to $44,999"
"85","ind2123","35-39","m","1566","$40,000 to $44,999"
"86","ind4402","35-39","f","1568","$40,000 to $44,999"
"87","ind2022","35-39","m","1575","$40,000 to $44,999"
"88","ind4549","40-44","f","1577","$40,000 to $44,999"
"89","ind2097","35-39","m","1579","$40,000 to $44,999"
"90","ind4393","35-39","f","1580","$40,000 to $44,999"
"91","ind4570","40-44","f","1582","$40,000 to $44,999"
