"","Ind","house","age","sex","income"
"1","ind1","1847","0-4","m","$50,000 to $59,999"
"2","ind10","1645","0-4","m","$40,000 to $44,999"
"3","ind100","1994","0-4","m","$60,000 to $74,999"
"4","ind1000","1443","0-4","m","$35,000 to $39,999"
"5","ind1001","1767","0-4","m","$50,000 to $59,999"
"6","ind1002","1991","0-4","m","$75,000 to $99,999"
"7","ind1003","1862","0-4","m","$50,000 to $59,999"
"8","ind1004","1658","0-4","m","$50,000 to $59,999"
"9","ind1005","1925","0-4","m","$60,000 to $74,999"
"10","ind1006","1826","0-4","m","$50,000 to $59,999"
"11","ind1007","1701","0-4","m","$45,000 to $49,999"
"12","ind1008","1969","0-4","m","$60,000 to $74,999"
"13","ind1009","1737","0-4","m","$45,000 to $49,999"
"14","ind101","2008","0-4","m","$75,000 to $99,999"
"15","ind1010","1833","0-4","m","$50,000 to $59,999"
"16","ind1011","1979","0-4","m","$75,000 to $99,999"
"17","ind1012","2009","0-4","m","$75,000 to $99,999"
"18","ind1013","1867","0-4","m","$60,000 to $74,999"
"19","ind1014","1467","0-4","m","$30,000 to $34,999"
"20","ind1015","2008","0-4","m","$75,000 to $99,999"
"21","ind1016","1964","0-4","m","$60,000 to $74,999"
"22","ind1017","2009","0-4","m","$75,000 to $99,999"
"23","ind1018","1735","0-4","m","$45,000 to $49,999"
"24","ind1019","1823","0-4","m","$50,000 to $59,999"
"25","ind102","1452","0-4","m","$35,000 to $39,999"
"26","ind1020","1903","0-4","m","$60,000 to $74,999"
"27","ind1021","1798","0-4","m","$50,000 to $59,999"
"28","ind1022","1608","0-4","m","$35,000 to $39,999"
"29","ind1023","1890","0-4","m","$60,000 to $74,999"
"30","ind1024","1637","0-4","m","$40,000 to $44,999"
"31","ind1025","1816","0-4","m","$50,000 to $59,999"
"32","ind1026","1451","0-4","m","$35,000 to $39,999"
"33","ind1027","1839","0-4","m","$60,000 to $74,999"
"34","ind1028","1936","0-4","m","$60,000 to $74,999"
"35","ind1029","1939","0-4","m","$60,000 to $74,999"
"36","ind103","1613","0-4","m","$40,000 to $44,999"
"37","ind1030","1689","0-4","m","$45,000 to $49,999"
"38","ind1031","1765","0-4","m","$50,000 to $59,999"
"39","ind1032","1895","0-4","m","$60,000 to $74,999"
"40","ind1033","1914","0-4","m","$60,000 to $74,999"
"41","ind1034","1945","0-4","m","$60,000 to $74,999"
"42","ind1035","1935","0-4","m","$60,000 to $74,999"
"43","ind1036","1756","0-4","m","$50,000 to $59,999"
"44","ind1037","1938","0-4","m","$60,000 to $74,999"
"45","ind1038","1913","0-4","m","$60,000 to $74,999"
"46","ind1039","1737","0-4","m","$45,000 to $49,999"
"47","ind104","1992","0-4","m","$60,000 to $74,999"
"48","ind1040","1720","0-4","m","$50,000 to $59,999"
"49","ind1041","1980","0-4","m","$75,000 to $99,999"
"50","ind1042","1946","0-4","m","$60,000 to $74,999"
"51","ind1043","1896","0-4","m","$60,000 to $74,999"
"52","ind1044","1976","0-4","m","$60,000 to $74,999"
"53","ind1045","1980","0-4","m","$75,000 to $99,999"
"54","ind1046","1835","0-4","m","$60,000 to $74,999"
"55","ind1047","1956","0-4","m","$60,000 to $74,999"
"56","ind1048","1947","0-4","m","$60,000 to $74,999"
"57","ind1049","1922","0-4","m","$60,000 to $74,999"
"58","ind105","1608","0-4","m","$35,000 to $39,999"
"59","ind1050","1885","0-4","m","$60,000 to $74,999"
"60","ind1051","1939","0-4","m","$60,000 to $74,999"
"61","ind1052","1881","0-4","m","$60,000 to $74,999"
"62","ind1053","1898","0-4","m","$60,000 to $74,999"
